structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Field CA2,0.0,0.0,0.0,0.207598,0.206546,0.414144,0.0,0.0
medial corticohypothalmic tract,0.0,0.0,0.0,0.005166,0.004828,0.009994,0.0,0.0
"Spinal nucleus of the trigeminal, caudal part",0.0,0.0,0.0,1.3658439999999998,1.235803,2.6016470000000003,0.0,0.0
"Retrosplenial area, ventral part, layer 2/3",0.0,0.0,0.0,0.46988,0.5438259999999999,1.013706,0.0,0.0
"Anteromedial visual area, layer 5",0.0,0.0,0.0,0.001245,0.16591599999999998,0.16716099999999998,0.0,0.0
"Retrosplenial area, dorsal part, layer 2/3",0.0,0.0,0.0,0.08026799999999999,0.099218,0.17948599999999998,0.0,0.0
columns of the fornix,0.0,0.0,0.0,0.133654,0.126447,0.260101,0.0,0.0
"Orbital area, lateral part, layer 6a",0.0,0.0,0.0,0.182254,0.205039,0.387293,0.0,0.0
"Anteromedial visual area, layer 6b",0.0,0.0,0.0,0.017082999999999997,0.020843,0.037926,0.0,0.0
"Retrosplenial area, dorsal part, layer 1",0.0,0.0,0.0,0.09588200000000001,0.105357,0.201239,0.0,0.0
dorsal hippocampal commissure,0.0,0.0,0.0,0.505556,0.558304,1.06386,0.0,0.0
"Spinal nucleus of the trigeminal, oral part",0.0,0.0,0.0,0.31805,0.304388,0.622438,0.0,0.0
"Orbital area, lateral part, layer 1",0.0,0.0,0.0,0.126882,0.16289399999999998,0.28977600000000003,0.0,0.0
ventral hippocampal commissure,0.0,0.0,0.0,0.041573,0.050706,0.092279,0.0,0.0
"Primary somatosensory area, upper limb, layer 1",0.0,0.0,0.0,0.145183,0.254934,0.400117,0.0,0.0
"Basolateral amygdalar nucleus, ventral part",0.0,0.0,0.0,0.14959699999999998,0.20801,0.357607,0.0,0.0
"Posterior auditory area, layer 6b",0.0,0.0,0.0,0.005731,0.005940999999999999,0.011672,0.0,0.0
"Primary somatosensory area, trunk, layer 6b",0.0,0.0,0.0,0.020419999999999997,0.020267,0.040687,0.0,0.0
"posteromedial visual area, layer 6b",0.0,0.0,0.0,0.018016,0.018848,0.036864,0.0,0.0
Subthalamic nucleus,0.0,0.0,0.0,0.08968899999999999,0.07998899999999999,0.169678,0.0,0.0
"Primary somatosensory area, lower limb, layer 6a",0.0,0.0,0.0,0.253983,0.357669,0.6116520000000001,0.0,0.0
brachium of the inferior colliculus,0.0,0.0,0.0,0.109553,0.10781600000000001,0.217369,0.0,0.0
Medial habenula,0.0,0.0,0.0,0.17685399999999998,0.173837,0.350691,0.0,0.0
"Orbital area, medial part, layer 1",0.0,0.0,0.0,0.116719,0.118505,0.235224,0.0,0.0
"Orbital area, lateral part, layer 6b",0.0,0.0,0.0,0.013369999999999998,0.017466,0.030836000000000002,0.0,0.0
Subiculum,0.0,0.0,0.0,0.8344769999999999,1.01906,1.853537,0.0,0.0
dorsal acoustic stria,0.0,0.0,0.0,0.007256999999999999,0.008204000000000001,0.015461,0.0,0.0
"Primary somatosensory area, lower limb, layer 6b",0.0,0.0,0.0,0.022028,0.032318,0.054346000000000005,0.0,0.0
Cerebellum,0.0,0.0,0.0,0.376672,0.374567,0.751239,0.0,0.0
Medial preoptic nucleus,0.0,0.0,0.0,0.228014,0.210568,0.438582,0.0,0.0
"Ventral auditory area, layer 6a",0.0,0.0,0.0,0.113138,0.096914,0.210052,0.0,0.0
Medial preoptic area,0.0,0.0,0.0,0.198733,0.226771,0.425504,0.0,0.0
Supramammillary nucleus,0.0,0.0,0.0,0.10806800000000001,0.089027,0.197095,0.0,0.0
"Dorsal auditory area, layer 1",0.0,0.0,0.0,0.09699,0.11688299999999999,0.213873,0.0,0.0
dorsal fornix,0.0,0.0,0.0,0.023992,0.027432,0.051424,0.0,0.0
Medial pretectal area,0.0,0.0,0.0,0.015181,0.018114,0.033295,0.0,0.0
Supratrigeminal nucleus,0.0,0.0,0.0,0.153667,0.168688,0.322355,0.0,0.0
dorsal limb,0.0,0.0,0.0,0.035427999999999994,0.042684,0.078112,0.0,0.0
"Retrosplenial area, ventral part, layer 1",0.0,0.0,0.0,0.461907,0.4985,0.960407,0.0,0.0
"Entorhinal area, medial part, dorsal zone, layer 2",0.0,0.0,0.0,0.521257,0.491395,1.012652,0.0,0.0
"Infralimbic area, layer 2/3",0.0,0.0,0.0,0.040578,0.050974,0.091552,0.0,0.0
